iter	Logloss
0	0.6922700029
1	0.6918287688
2	0.6912665771
3	0.6909377496
4	0.6900798918
5	0.6892655816
6	0.6884237927
7	0.6876919799
8	0.6872649163
9	0.6868474536
10	0.6863429127
11	0.6861334545
12	0.685631163
13	0.685044787
14	0.6844996964
15	0.6839991337
16	0.683567142
17	0.6833796032
18	0.6830728716
19	0.6827212717
20	0.6820187914
21	0.6815239659
22	0.6811971367
23	0.6809772062
24	0.6807999702
25	0.6804251881
26	0.6801331138
27	0.6795368447
28	0.6787767025
29	0.6781037752
30	0.6776169814
31	0.6770296499
32	0.6766930204
33	0.6763417301
34	0.6758465597
35	0.6753359264
36	0.6746437614
37	0.6742578287
38	0.6738394146
39	0.6735187678
40	0.6728872974
41	0.6725500081
42	0.6721874617
43	0.6719614607
44	0.6717395614
45	0.6714062408
46	0.6712409163
47	0.6706526635
48	0.6703287757
49	0.6700705447
50	0.6694770643
51	0.6692562886
52	0.6688046425
53	0.6685894359
54	0.6681188181
55	0.6677174381
56	0.6673875119
57	0.6669014773
58	0.6665975354
59	0.6663254004
60	0.6661108903
61	0.6657911219
62	0.6655628776
63	0.6651349438
64	0.6646758109
65	0.6645752651
66	0.663978066
67	0.6634038888
68	0.6630509509
69	0.6628901568
70	0.6627243843
71	0.662466423
72	0.6623197649
73	0.6618392299
74	0.6615411365
75	0.6612183734
76	0.6610526516
77	0.6607687841
78	0.6605995319
79	0.6603595118
80	0.6601044267
81	0.6596633365
82	0.6594228364
83	0.6591342236
84	0.6587617978
85	0.6584621158
86	0.6583046384
87	0.6580338561
88	0.6576357825
89	0.6572169481
90	0.6570162135
91	0.6566026723
92	0.6563669007
93	0.6559971928
94	0.6557728648
95	0.6555430341
96	0.6552624824
97	0.6548455769
98	0.6543627011
99	0.6540417253
