iter	Passed	Remaining
0	251	24901
1	255	12520
2	259	8396
3	264	6347
4	268	5100
5	272	4266
6	275	3663
7	279	3212
8	283	2862
9	287	2583
10	290	2351
11	294	2156
12	297	1993
13	301	1851
14	305	1730
15	309	1622
16	312	1524
17	315	1437
18	318	1359
19	322	1289
20	325	1225
21	329	1167
22	332	1114
23	336	1064
24	339	1018
25	342	975
26	345	935
27	349	898
28	352	864
29	356	831
30	359	800
31	363	772
32	366	744
33	369	718
34	373	693
35	376	669
36	380	647
37	383	626
38	387	605
39	390	586
40	394	567
41	397	548
42	401	531
43	404	514
44	407	498
45	411	482
46	415	468
47	419	454
48	423	441
49	427	427
50	431	414
51	435	401
52	439	389
53	443	377
54	447	366
55	450	354
56	454	343
57	458	331
58	461	320
59	465	310
60	468	299
61	472	289
62	475	279
63	478	269
64	482	259
65	485	250
66	489	240
67	492	231
68	496	223
69	499	214
70	503	205
71	506	196
72	509	188
73	513	180
74	516	172
75	520	164
76	523	156
77	527	148
78	530	141
79	534	133
80	537	126
81	540	118
82	544	111
83	547	104
84	551	97
85	555	90
86	558	83
87	561	76
88	565	69
89	568	63
90	572	56
91	575	50
92	579	43
93	583	37
94	587	30
95	590	24
96	594	18
97	598	12
98	602	6
99	606	0
